ID,Type of Object,Max Confidence,Avg Confidence,On-screen Duration
291,car,0.97096,0.891183,4.7816
277,car,0.972244,0.927954,5.98481
276,car,0.960773,0.815991,6.00017
273,car,0.910773,0.780677,6.03679
314,car,0.96066,0.893361,1.87095
255,car,0.925231,0.699358,11.0211
247,car,0.958977,0.789705,11.4761
281,car,0.972365,0.871054,5.81775
323,car,0.879035,0.746513,0.642267
325,car,0.8376,0.611293,1.20163
330,car,0.523271,0.363016,1.22256
338,car,0.263643,0.230494,0.433115
326,car,0.941186,0.810521,2.70963
329,car,0.943951,0.798192,2.84157
343,car,0.425357,0.362564,0.398819
333,car,0.941351,0.782923,3.48969
327,car,0.94315,0.795689,3.79963
335,car,0.937769,0.770343,3.92056
331,car,0.960886,0.763634,4.10626
341,car,0.933794,0.786492,3.01436
337,car,0.919308,0.747884,4.11466
334,car,0.330967,0.250375,4.62984
339,car,0.945289,0.742013,4.49874
340,car,0.932857,0.793882,3.71788
342,car,0.957163,0.794976,3.30876
356,car,0.66365,0.399205,0.154692
353,car,0.881257,0.597895,0.439237
363,car,0.87759,0.729169,0.0627134
345,car,0.958079,0.807551,2.79088
365,car,0.654868,0.583775,0.17283
368,car,0.757629,0.632868,0.19383
370,car,0.761746,0.633649,0.220812
360,car,0.946445,0.811266,0.985844
346,car,0.965212,0.800749,3.25357
344,car,0.937241,0.788113,4.16893
355,car,0.901047,0.70693,1.4653
373,car,0.783145,0.664848,0.22094
369,car,0.925748,0.772927,1.13217
364,car,0.964549,0.817485,1.56807
374,car,0.933139,0.861102,0.727334
366,car,0.909296,0.781506,1.84213
349,car,0.962489,0.791532,3.8758
352,car,0.971794,0.830893,3.22715
376,car,0.971876,0.907565,1.16808
350,car,0.95236,0.819337,3.81741
348,car,0.935721,0.761433,4.6477
351,car,0.942664,0.827665,3.82895
386,car,0.805955,0.782343,0.00349109
381,car,0.856475,0.758713,0.921002
324,person,0.887116,0.518931,10.6009
347,car,0.953906,0.757835,5.19278
359,car,0.883439,0.649397,3.17811
332,person,0.860159,0.610431,9.22413
385,car,0.948542,0.917499,0.651627
377,car,0.767966,0.701155,1.87281
367,car,0.964958,0.855011,3.14881
384,car,0.967083,0.907511,1.5221
371,car,0.97328,0.870141,3.05197
393,car,0.920526,0.904652,0.241085
390,car,0.865823,0.816882,0.592801
361,car,0.956101,0.828587,4.48436
398,car,0.792939,0.734562,0.12261
396,car,0.850077,0.805289,0.69354
375,car,0.972686,0.873984,3.92836
374,car,0.900912,0.78275,2.36257
387,car,0.944347,0.849867,2.92483
379,car,0.966209,0.875545,4.40381
382,car,0.9677,0.861342,4.34784
403,car,0.835543,0.824685,0.00910804
402,car,0.89929,0.768861,0.570145
401,car,0.901714,0.780747,0.577159
400,car,0.942745,0.879747,0.977411
399,car,0.892846,0.814312,1.10365
397,car,0.976412,0.902641,1.91733
394,car,0.965313,0.929754,2.1659
392,car,0.967178,0.893028,2.81585
389,car,0.956915,0.876584,3.26046
388,car,0.955848,0.839495,3.31628
380,car,0.96826,0.907075,4.60167
378,car,0.968991,0.882233,4.88674
372,car,0.97096,0.891183,5.43986
358,car,0.972244,0.927954,6.72082
357,car,0.960773,0.815991,6.7595
354,car,0.910773,0.780677,6.7877
395,car,0.96066,0.893361,2.01023
336,car,0.925231,0.699358,12.2362
391,car,0.919642,0.785452,2.86294
328,car,0.958977,0.789705,12.7956
383,car,0.96083,0.878311,4.40071
362,car,0.972365,0.871054,6.6129
404,car,0.879035,0.746513,0.654037
406,car,0.8376,0.611293,1.13234
411,car,0.523271,0.363016,1.16326
419,car,0.263643,0.230494,0.467681
407,car,0.941186,0.810521,2.81988
410,car,0.943951,0.798192,2.88677
424,car,0.425357,0.362564,0.451869
