ID,x_initial,y_initial,x_final,y_final,cluster,,X,Y,ID,Cluster,x_c0,y_c0,x_c1,y_c1,x_c2,y_c2,x_c3,y_c3,x_c4,y_c4,,,,,Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster,,,X,Y,ID,Cluster,,,,
87,555,6,923,464,2,,518,7,85,2,#N/A,#N/A,#N/A,#N/A,518,7,#N/A,#N/A,#N/A,#N/A,,,,,car,87,0.798,555,6,923,464,2,,,,,,,,,,
85,518,7,914,450,2,,312,512,91,0,312,512,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,85,0.796,518,7,914,450,2,,,,,,,,,,
91,480,5,312,512,0,,511,4,89,2,#N/A,#N/A,#N/A,#N/A,511,4,#N/A,#N/A,#N/A,#N/A,,,,,car,91,0.783,480,5,312,512,0,,,,,,,,,,
89,511,4,680,510,2,,680,527,93,2,#N/A,#N/A,#N/A,#N/A,680,527,#N/A,#N/A,#N/A,#N/A,,,,,car,89,0.764,511,4,680,510,2,,,,,,,,,,
93,522,20,680,527,2,,520,4,99,2,#N/A,#N/A,#N/A,#N/A,520,4,#N/A,#N/A,#N/A,#N/A,,,,,car,93,0.770,522,20,680,527,2,,,,,,,,,,
99,520,4,642,403,2,,671,447,95,2,#N/A,#N/A,#N/A,#N/A,671,447,#N/A,#N/A,#N/A,#N/A,,,,,car,99,0.786,520,4,642,403,2,,,,,,,,,,
95,527,11,671,447,2,,571,18,97,2,#N/A,#N/A,#N/A,#N/A,571,18,#N/A,#N/A,#N/A,#N/A,,,,,car,95,0.748,527,11,671,447,2,,,,,,,,,,
97,571,18,900,439,2,,911,451,98,2,#N/A,#N/A,#N/A,#N/A,911,451,#N/A,#N/A,#N/A,#N/A,,,,,car,97,0.742,571,18,900,439,2,,,,,,,,,,
98,560,4,911,451,2,,524,3,100,2,#N/A,#N/A,#N/A,#N/A,524,3,#N/A,#N/A,#N/A,#N/A,,,,,car,98,0.794,560,4,911,451,2,,,,,,,,,,
100,524,3,691,495,2,,552,13,111,1,#N/A,#N/A,552,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,100,0.795,524,3,691,495,2,,,,,,,,,,
111,538,11,552,13,1,,343,25,121,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,343,25,#N/A,#N/A,,,,,car,111,0.598,538,11,552,13,1,,,,,,,,,,
121,343,25,340,26,3,,644,378,103,2,#N/A,#N/A,#N/A,#N/A,644,378,#N/A,#N/A,#N/A,#N/A,,,,,car,121,0.729,343,25,340,26,3,,,,,,,,,,
103,530,7,644,378,2,,314,36,123,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,314,36,#N/A,#N/A,,,,,car,103,0.808,530,7,644,378,2,,,,,,,,,,
123,314,36,319,41,3,,475,27,126,1,#N/A,#N/A,475,27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,123,0.584,314,36,319,41,3,,,,,,,,,,
126,476,21,475,27,1,,357,39,128,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,357,39,#N/A,#N/A,,,,,car,126,0.633,476,21,475,27,1,,,,,,,,,,
128,357,39,363,42,3,,523,28,118,1,#N/A,#N/A,523,28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,128,0.634,357,39,363,42,3,,,,,,,,,,
118,526,22,523,28,1,,508,3,104,0,508,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,118,0.811,526,22,523,28,1,,,,,,,,,,
104,508,3,411,469,0,,406,488,102,0,406,488,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,104,0.801,508,3,411,469,0,,,,,,,,,,
102,484,3,406,488,0,,523,6,113,1,#N/A,#N/A,523,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,102,0.788,484,3,406,488,0,,,,,,,,,,
113,523,6,539,29,1,,484,44,131,1,#N/A,#N/A,484,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,113,0.707,523,6,539,29,1,,,,,,,,,,
131,481,40,484,44,1,,510,41,127,1,#N/A,#N/A,510,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,131,0.665,481,40,484,44,1,,,,,,,,,,
127,510,41,519,42,1,,548,46,122,1,#N/A,#N/A,548,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,127,0.773,510,41,519,42,1,,,,,,,,,,
122,540,13,548,46,1,,507,37,124,1,#N/A,#N/A,507,37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,122,0.817,540,13,548,46,1,,,,,,,,,,
124,507,37,510,59,1,,644,477,107,2,#N/A,#N/A,#N/A,#N/A,644,477,#N/A,#N/A,#N/A,#N/A,,,,,car,124,0.782,507,37,510,59,1,,,,,,,,,,
107,539,12,644,477,2,,,,,,,,,,,,,,,,,,,,car,107,0.792,539,12,644,477,2,,,,,,,,,,
110,545,3,882,447,2,,,,,,,,,,,,,,,,,,,,car,110,0.831,545,3,882,447,2,,,,,,,,,,
